,borough,contributing_factor_vehicle_1,contributing_factor_vehicle_2,cross_street_name,date,latitude,longitude,number_of_cyclist_injured,number_of_cyclist_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,off_street_name,on_street_name,time,unique_key,vehicle_type_code1,vehicle_type_code2
12473,MANHATTAN,Unspecified,Unspecified,,2015-12-13,40.830891799999996,-73.9413666,1,0,0,0,SAINT NICHOLAS AVENUE           ,WEST 155 STREET                 ,17.833333333333332,3352574,SPORT UTILITY / STATION WAGON,BICYCLE
12474,BRONX,Failure to Yield Right-of-Way,Unspecified,,2015-12-14,40.845280100000004,-73.8345251,1,0,0,0,MAYFLOWER AVENUE                ,WESTCHESTER AVENUE              ,18.9,3352634,PASSENGER VEHICLE,BICYCLE
12475,QUEENS,Other Vehicular,Unspecified,,2014-05-13,40.744756,-73.9105432,1,0,0,0,54 STREET                       ,ROOSEVELT AVENUE                ,19.833333333333332,335272,PASSENGER VEHICLE,BICYCLE
12476,BROOKLYN,Unspecified,Unspecified,,2015-12-13,40.699456299999994,-73.9396898,1,0,0,0,ELLERY STREET                   ,BROADWAY                        ,11.833333333333334,3352806,PASSENGER VEHICLE,BICYCLE
12477,BROOKLYN,Driver Inattention/Distraction,Unspecified,,2015-12-14,40.6830392,-73.9647775,1,0,0,0,WASHINGTON AVENUE               ,FULTON STREET                   ,11.2,3352828,SPORT UTILITY / STATION WAGON,BICYCLE
12478,,Unspecified,Unspecified,,2015-12-14,,,1,0,0,0,WASHINGTON AVENUE               ,PARK AVENUE                     ,14.0,3352829,SPORT UTILITY / STATION WAGON,BICYCLE
12479,,Unspecified,Unspecified,,2015-12-14,,,1,0,0,0,MERRICK BOULEVARD               ,221 STREET                      ,8.75,3352898,PASSENGER VEHICLE,BICYCLE
12480,,Driver Inattention/Distraction,Unspecified,,2015-12-13,,,1,0,0,0,ROOSEVELT AVENUE                ,NATIONAL STREET                 ,15.083333333333334,3352973,PASSENGER VEHICLE,BICYCLE
12481,QUEENS,Unspecified,Unspecified,,2015-12-13,40.7472124,-73.86525040000001,1,0,0,0,42 AVENUE                       ,99 STREET                       ,14.166666666666666,3352977,PASSENGER VEHICLE,BICYCLE
12482,MANHATTAN,Physical Disability,Unspecified,,2015-12-15,40.720557299999996,-74.00351020000001,1,0,0,0,CHURCH STREET                   ,CANAL STREET                    ,17.166666666666668,3353093,UNKNOWN,BICYCLE
12483,MANHATTAN,Driver Inattention/Distraction,Unspecified,,2015-12-15,40.7378658,-74.00018399999999,1,0,0,0,WEST 13 STREET                  ,7 AVENUE                        ,15.0,3353106,VAN,BICYCLE
12484,MANHATTAN,Passenger Distraction,Unspecified,,2015-12-15,40.7155532,-73.9897553,1,0,0,0,HESTER STREET                   ,ESSEX STREET                    ,17.65,3353116,PASSENGER VEHICLE,BICYCLE
12485,,Passenger Distraction,Unspecified,,2014-05-13,,,1,0,0,0,CORONA AVENUE                   ,91 PLACE                        ,16.083333333333332,335316,PASSENGER VEHICLE,BICYCLE
12486,MANHATTAN,Failure to Yield Right-of-Way,,,2015-12-15,40.7660449,-73.983365,1,0,0,0,WEST 56 STREET                  ,8 AVENUE                        ,10.0,3353184,TAXI,
12487,MANHATTAN,Passenger Distraction,Passenger Distraction,,2015-12-13,40.8498946,-73.933311,1,0,0,0,WEST 182 STREET                 ,SAINT NICHOLAS AVENUE           ,12.783333333333333,3353274,SPORT UTILITY / STATION WAGON,BICYCLE
12488,BROOKLYN,Fatigued/Drowsy,Unspecified,,2015-08-09,40.634077600000005,-73.9950749,1,0,0,0,52 STREET                       ,NEW UTRECHT AVENUE              ,19.0,3353428,PASSENGER VEHICLE,BICYCLE
12489,BROOKLYN,Unsafe Speed,Unspecified,,2015-12-14,40.6264606,-74.0268565,1,0,0,0,81 STREET                       ,4 AVENUE                        ,9.333333333333334,3353454,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
12490,BROOKLYN,Failure to Yield Right-of-Way,Unspecified,,2015-12-15,40.6559893,-74.00267779999999,1,0,0,0,4 AVENUE                        ,33 STREET                       ,2.0,3353500,PASSENGER VEHICLE,BICYCLE
12491,BROOKLYN,Failure to Yield Right-of-Way,Unspecified,,2015-12-15,40.654068,-74.0009947,1,0,0,0,34 STREET                       ,5 AVENUE                        ,16.25,3353507,PASSENGER VEHICLE,BICYCLE
12492,BROOKLYN,Failure to Yield Right-of-Way,Unspecified,,2015-12-15,40.6529481,-74.00216590000001,1,0,0,0,36 STREET                       ,5 AVENUE                        ,11.8,3353511,SPORT UTILITY / STATION WAGON,BICYCLE
12493,BROOKLYN,Unspecified,Unspecified,,2015-12-14,40.6673741,-73.98780529999999,1,0,0,0,12 STREET                       ,5 AVENUE                        ,19.566666666666666,3353568,SPORT UTILITY / STATION WAGON,BICYCLE
12494,BROOKLYN,Prescription Medication,Unspecified,,2015-12-13,40.7154014,-73.9269272,1,0,0,0,GARDNER AVENUE                  ,GRAND STREET                    ,13.25,3353622,PASSENGER VEHICLE,BICYCLE
12495,BROOKLYN,Driver Inattention/Distraction,Unspecified,,2015-12-14,40.725433,-73.9457743,1,0,0,0,JEWEL STREET                    ,NASSAU AVENUE                   ,15.083333333333334,3353648,VAN,BICYCLE
